IGRALEC;EKIPA;POZICIJA;STAROST;VISINA;TEZA;DRZAVA;GP;MPG;PPG;APG;RPG;SPG;FT;2;3
Aaron Brooks;IND;PG;32;6-0;161;USA;65;13.7;5;1.9;1.1;0.38;0.8;0.424;0.375
Aaron Gordon;ORL;SF;21;6-9;220;USA;80;28.7;12.7;1.9;5.1;0.81;0.719;0.528;0.288
Adreian Payne;MIN;PF;25;6-10;237;USA;18;7.5;3.5;0.4;1.8;0.44;0.737;0.513;0.2
AJ Hammons;DAL;C;24;7-0;260;USA;22;7.4;2.2;0.2;1.7;0.05;0.45;0.375;0.5
Al Horford;BOS;C;30;6-10;245;Dominican Republic;68;32.3;14;5;6.8;0.76;0.8;0.524;0.355
Al Jefferson;IND;C;32;6-10;289;USA;66;14.1;8.1;0.9;4.2;0.29;0.765;0.5;0
Alan Anderson;LAC;SF;34;6-6;220;USA;30;10.3;2.9;0.4;0.8;0.1;0.75;0.444;0.318
Alan Williams;PHX;PF;24;6-8;260;USA;47;15.1;7.4;0.5;6.2;0.57;0.625;0.519;0
Alec Burks;UTA;SG;25;6-6;214;USA;42;15.6;6.7;0.7;2.9;0.43;0.769;0.43;0.329
Alex Abrines;OKC;SG;23;6-6;190;Spain;68;15.5;6;0.6;1.3;0.54;0.898;0.426;0.381
Alex Len;PHX;C;23;7-1;260;Ukraine;77;20.3;8;0.6;6.6;0.49;0.721;0.503;0.25
Alex Poythress;PHI;SF;23;6-7;238;USA;6;26.1;10.7;0.8;4.7;0.5;0.8;0.543;0.316
Alexis Ajinca;NOP;C;28;7-2;248;France;39;15;5.3;0.3;4.5;0.51;0.725;0.511;0
Al-Farouq Aminu;POR;SF;26;6-9;220;USA;61;29.1;8.7;1.6;7.4;1;0.706;0.445;0.329
Allen Crabbe;POR;SG;24;6-6;215;USA;79;28.5;10.7;1.2;2.8;0.68;0.847;0.49;0.444
Alonzo Gee;DEN;SF;29;6-6;225;USA;13;6.9;0.8;0.5;1.2;0.38;0.556;0.273;0
Amir Johnson;BOS;PF;29;6-9;240;USA;80;20.1;6.5;1.8;4.6;0.64;0.67;0.612;0.409
Anderson Varejao;GSW;C;34;6-11;273;Brazil;14;6.6;1.3;0.7;1.9;0.21;0.727;0.357;0
Andre Drummond;DET;C;23;6-11;279;USA;81;29.7;13.6;1.1;13.8;1.53;0.386;0.532;0.286
Andre Iguodala;GSW;SF;33;6-6;215;USA;76;26.3;7.6;3.4;4;1;0.706;0.651;0.362
Andre Roberson;OKC;SF;25;6-7;210;USA;79;30.1;6.6;1;5.1;1.2;0.423;0.609;0.245
Andrew Bogut;DAL;C;32;7-0;260;Australia;26;22.4;3;1.9;8.4;0.5;0.273;0.475;0
Andrew Harrison;MEM;SG;22;6-6;213;USA;72;20.5;5.9;2.8;1.9;0.74;0.763;0.363;0.276
Andrew Nicholson;WAS;PF;27;6-9;250;Canada;28;8.3;2.5;0.3;1.2;0.39;0.583;0.443;0.188
Andrew Wiggins;MIN;SF;21;6-8;199;Canada;82;37.2;23.6;2.3;4;1;0.76;0.473;0.356
Anthony Bennett;BKN;PF;23;6-8;235;Canada;23;11.5;5;0.5;3.4;0.22;0.722;0.568;0.271
Anthony Brown;NOP;SF;24;6-7;211;USA;9;15.8;3.8;0.7;2.9;0.56;0;0.471;0.25
Anthony Davis;NOP;C;23;6-11;253;USA;75;36.1;28;2.1;11.8;1.27;0.802;0.525;0.299
Anthony Morrow;OKC;SG;31;6-5;210;USA;40;15.7;5.8;0.5;0.7;0.55;0.885;0.49;0.294
Anthony Tolliver;SAC;PF;31;6-8;240;USA;65;22.7;7.1;1.2;3.6;0.52;0.744;0.537;0.391
Archie Goodwin;BKN;SG;22;6-5;205;USA;12;15.4;7.9;1.9;2.3;0.33;0.719;0.625;0.308
Aron Baynes;DET;C;30;6-10;260;Australia;75;15.5;4.9;0.4;4.4;0.23;0.84;0.513;0
Arron Afflalo;SAC;SG;31;6-5;210;USA;61;25.9;8.4;1.3;2;0.34;0.892;0.457;0.411
Austin Rivers;LAC;SG;24;6-4;200;USA;74;27.8;12;2.8;2.2;0.65;0.691;0.491;0.371
Avery Bradley;BOS;SG;26;6-2;180;USA;55;33.4;16.3;2.2;6.1;1.24;0.731;0.504;0.39
Axel Toupane;NOP;SF;24;6-7;210;France;2;20.7;5.5;0;0.5;0.5;0;0.8;0.333
Ben McLemore;SAC;SG;23;6-5;195;USA;61;19.3;8.1;0.8;2.1;0.48;0.753;0.462;0.382
Beno Udrih;DET;PG;34;6-3;205;Slovenia;39;14.4;5.8;3.4;1.5;0.33;0.941;0.491;0.344
Bismack Biyombo;ORL;C;24;6-9;255;DR Congo;81;22.1;6;0.9;7;0.31;0.534;0.528;0
Blake Griffin;LAC;PF;27;6-10;251;USA;61;34;21.6;4.9;8.1;0.93;0.76;0.514;0.336
Boban Marjanovic;DET;C;28;7-3;290;Serbia;35;8.4;5.5;0.3;3.7;0.17;0.81;0.545;0
Bobby Portis;CHI;PF;21;6-11;246;USA;64;15.6;6.8;0.5;4.6;0.25;0.661;0.541;0.333
Bojan Bogdanovic;BKN;SF;27;6-8;225;Croatia;55;27;14.2;1.6;3.6;0.44;0.874;0.509;0.357
Boris Diaw;UTA;PF;34;6-8;250;France;73;17.6;4.6;2.3;2.2;0.25;0.743;0.512;0.247
Bradley Beal;WAS;SG;23;6-5;207;USA;77;34.9;23.1;3.5;3.1;1.09;0.825;0.538;0.404
Brandan Wright;MEM;PF;29;6-10;210;USA;28;16;6.8;0.5;2.8;0.39;0.657;0.619;0
Brandon Bass;LAC;PF;31;6-8;250;USA;52;11.1;5.6;0.4;2.5;0.27;0.875;0.579;0.333
Brandon Ingram;LAL;SF;19;6-9;190;USA;79;28.9;9.4;2.1;4;0.62;0.621;0.443;0.294
Brandon Jennings;NYK;PG;27;6-1;170;USA;58;24.6;8.6;4.9;2.6;0.95;0.756;0.415;0.34
Brandon Knight;PHX;SG;25;6-3;195;USA;54;21.1;11;2.4;2.2;0.5;0.857;0.425;0.324
Brandon Rush;MIN;SG;31;6-6;225;USA;47;21.9;4.2;1;2.1;0.47;0.722;0.351;0.389
Brian Roberts;CHA;PG;31;6-1;173;USA;41;10.1;3.5;1.3;1;0.22;0.846;0.372;0.386
Briante Weber;CHA;PG;24;6-2;165;USA;13;12.3;3.8;1.3;1.6;0.69;0.692;0.487;0.143
Brook Lopez;BKN;C;28;7-0;268;USA;75;29.6;20.5;2.3;5.4;0.51;0.81;0.535;0.347
Bryn Forbes;SAS;SG;23;6-3;190;USA;36;7.9;2.6;0.7;0.6;0.03;0.833;0.413;0.321
Buddy Hield;NOP;SG;23;6-4;214;Bahamas;57;20.4;8.6;1.4;2.9;0.32;0.879;0.417;0.369
C.J. Watson;ORL;PG;32;6-2;175;USA;62;16.3;4.5;1.8;1.4;0.69;0.864;0.448;0.305
Cameron Payne;OKC;PG;22;6-3;185;USA;20;16;5.3;2;1.6;0.5;1;0.346;0.308
Caris LeVert;BKN;SF;22;6-7;203;USA;57;21.7;8.2;1.9;3.3;0.86;0.72;0.571;0.321
Carmelo Anthony;NYK;SF;32;6-8;240;USA;74;34.3;22.4;2.9;5.9;0.82;0.833;0.466;0.359
Chandler Parsons;MEM;SF;28;6-10;230;USA;34;19.8;6.2;1.6;2.5;0.59;0.814;0.388;0.269
Channing Frye;CLE;C;33;6-11;255;USA;74;18.9;9.1;0.6;3.9;0.45;0.851;0.546;0.409
Chasson Randle;NYK;PG;23;6-2;185;USA;18;12.5;5.3;1.6;1.7;0.33;0.935;0.45;0.313
Cheick Diallo;NOP;PF;20;6-9;220;Mali;17;11.7;5.1;0.2;4.3;0.24;0.714;0.474;0
Chinanu Onuaku;HOU;C;20;6-10;245;USA;5;10.3;2.8;0.6;2;0.6;1;0.714;0
Chris Andersen;CLE;C;38;6-10;245;USA;12;9.5;2.3;0.4;2.6;0.42;0.714;0.474;0
Chris McCullough;BKN;PF;21;6-9;215;USA;14;5.2;2.5;0.1;1.2;0.07;0.667;0.6;0.167
Chris Paul;LAC;PG;31;6-0;175;USA;61;31.5;18.1;9.2;5;1.97;0.892;0.518;0.411
Christian Wood;CHA;PF;21;6-11;220;USA;13;8.2;2.7;0.2;2.2;0.23;0.733;0.667;0
CJ McCollum;POR;SG;25;6-3;190;USA;80;34.9;23;3.6;3.6;0.9;0.912;0.506;0.421
CJ Miles;IND;SF;29;6-6;225;USA;76;23.4;10.7;0.6;3;0.61;0.903;0.471;0.413
Clint Capela;HOU;C;22;6-10;240;Switzerland;65;23.9;12.6;1;8.1;0.52;0.531;0.643;0
Cody Zeller;CHA;PF;24;7-0;240;USA;62;27.8;10.3;1.6;6.5;1;0.679;0.572;0
Cole Aldrich;MIN;C;28;6-11;250;USA;62;8.6;1.7;0.4;2.5;0.4;0.682;0.523;0
Corey Brewer;HOU;SF;30;6-9;186;USA;58;15.9;4.2;1.1;2;0.64;0.727;0.541;0.234
Cory Joseph;TOR;SG;25;6-3;190;Canada;80;25;9.3;3.3;2.9;0.84;0.77;0.477;0.356
Courtney Lee;NYK;SG;31;6-5;200;USA;77;31.9;10.8;2.3;3.4;1.05;0.867;0.49;0.401
Cristiano Felicio;CHI;C;24;6-9;266;Brazil;66;15.8;4.8;0.6;4.7;0.38;0.645;0.579;0
D.J. Augustin;ORL;PG;29;6-0;183;USA;78;19.7;7.9;2.7;1.5;0.4;0.814;0.412;0.347
D’Angelo Russell;LAL;PG;20;6-5;195;USA;63;28.7;15.6;4.8;3.5;1.38;0.782;0.448;0.352
Damian Jones;GSW;C;21;7-0;245;USA;10;8.5;1.9;0;2.3;0.1;0.3;0.5;0
Damian Lillard;POR;PG;26;6-3;195;USA;75;35.9;27;5.9;4.9;0.91;0.895;0.492;0.37
Damjan Rudez;ORL;SF;30;6-10;228;Croatia;45;7;1.8;0.4;0.6;0.27;0;0.458;0.313
Danilo Gallinari;DEN;SF;28;6-10;225;Italy;63;33.9;18.2;2.1;5.1;0.65;0.902;0.491;0.389
Danny Green;SAS;SG;29;6-6;215;USA;68;26.6;7.3;1.8;3.3;1.03;0.844;0.42;0.379
Dante Cunningham;NOP;SF;29;6-8;230;USA;66;25;6.6;0.5;4.2;0.59;0.593;0.579;0.392
Dante Exum;UTA;PG;21;6-6;190;Australia;66;18.6;6.2;1.7;2;0.32;0.795;0.519;0.295
Dario Saric;PHI;PF;22;6-10;223;Croatia;81;26.3;12.8;2.2;6.3;0.7;0.782;0.469;0.311
Darrell Arthur;DEN;PF;28;6-9;235;USA;41;15.6;6.4;1;2.7;0.46;0.864;0.429;0.453
Darren Collison;SAC;PG;29;6-0;175;USA;68;30.3;13.2;4.6;2.2;0.99;0.86;0.494;0.42
Darrun Hilliard;DET;SG;23;6-6;205;USA;39;9.8;3.3;0.8;0.8;0.28;0.75;0.438;0.261
David Lee;SAS;PF;33;6-9;245;USA;79;18.7;7.3;1.6;5.6;0.38;0.708;0.59;0
David Nwaba;LAL;SG;24;6-4;209;USA;20;19.9;6;0.7;3.2;0.6;0.641;0.605;0.2
David West;GSW;PF;36;6-9;250;USA;68;12.6;4.6;2.2;3;0.62;0.768;0.541;0.375
Davis Bertans;SAS;PF;24;6-10;210;Latvia;67;12.1;4.5;0.7;1.5;0.3;0.824;0.557;0.399
DeAndre Jordan;LAC;C;28;6-6;210;USA;81;31.7;12.7;1.2;13.8;0.62;0.482;0.717;0
DeAndre Liggins;CLE;SG;28;6-11;265;USA;61;12.3;2.4;0.9;1.7;0.74;0.622;0.385;0.378
DeAndre’ Bembry;ATL;SF;22;6-6;209;USA;38;9.8;2.7;0.8;1.6;0.21;0.375;0.575;0.056
Dejounte Murray;SAS;PG;20;6-5;170;USA;38;8.5;3.4;1.3;1.1;0.21;0.7;0.441;0.391
Delon Wright;TOR;PG;24;6-5;190;USA;27;16.5;5.6;2.1;1.7;1;0.764;0.459;0.333
DeMar DeRozan;TOR;SG;27;6-7;220;USA;74;35.4;27.3;3.9;5.2;1.05;0.842;0.484;0.266
DeMarcus Cousins;SAC;C;26;6-11;270;USA;55;34.4;27.8;4.8;10.6;1.36;0.77;0.482;0.356
DeMarre Carroll;TOR;SF;30;6-8;212;USA;72;26.1;8.9;1;3.8;1.11;0.761;0.483;0.341
Dennis Schroder;ATL;PG;23;6-1;172;Germany;79;31.5;17.9;6.3;3.1;0.95;0.855;0.487;0.34
Denzel Valentine;CHI;SG;23;6-6;212;USA;57;17.1;5.1;1.1;2.6;0.53;0.778;0.363;0.351
Deron Williams;DAL;PG;32;6-3;200;USA;40;29.3;13.1;6.9;2.6;0.63;0.821;0.485;0.348
Derrick Favors;UTA;PF;25;6-10;265;USA;50;23.7;9.5;1.1;6.1;0.9;0.615;0.491;0.3
Derrick Jones, Jr.;PHX;SF;19;6-7;190;USA;32;17;5.3;0.4;2.5;0.41;0.707;0.591;0.273
Derrick Rose;NYK;PG;28;6-3;190;USA;64;32.5;18;4.4;3.8;0.69;0.874;0.487;0.217
Derrick Williams;MIA;PF;25;6-8;240;USA;25;15.1;5.9;0.6;2.9;0.36;0.62;0.489;0.2
Devin Booker;PHX;SG;20;6-6;206;USA;78;35;22.1;3.4;3.2;0.92;0.832;0.447;0.363
Devin Harris;DAL;PG;33;6-3;185;USA;65;16.7;6.7;2.1;2;0.66;0.829;0.476;0.328
Dewayne Dedmon;SAS;C;27;7-0;245;USA;76;17.5;5.1;0.6;6.5;0.49;0.699;0.622;0
Deyonta Davis;MEM;C;20;6-10;240;USA;36;6.6;1.6;0.1;1.7;0.08;0.556;0.511;0
Dion Waiters;MIA;SG;25;6-4;220;USA;46;30.1;15.8;4.3;3.3;0.91;0.646;0.438;0.395
Dirk Nowitzki;DAL;PF;38;7-0;245;Germany;54;26.4;14.2;1.5;6.5;0.56;0.875;0.463;0.378
Domantas Sabonis;OKC;PF;20;6-11;240;Lithuania;81;20.1;5.9;1;3.5;0.48;0.657;0.438;0.321
Donatas Motiejunas;NOP;PF;26;7-0;222;Lithuania;34;14.1;4.4;0.9;3;0.53;0.51;0.505;0.234
Dorian Finney-Smith;DAL;PF;23;6-8;220;USA;81;20.3;4.3;0.8;2.7;0.64;0.754;0.479;0.293
Doug McDermott;CHI;SF;25;6-8;219;USA;44;24.5;10.2;1;3;0.25;0.881;0.493;0.373
Dragan Bender;PHX;PF;19;7-1;225;Croatia;43;13.3;3.4;0.5;2.4;0.23;0.364;0.483;0.277
Draymond Green;GSW;PF;26;6-7;230;USA;76;32.5;10.2;7;7.9;2.03;0.709;0.492;0.308
Dwight Howard;ATL;C;31;6-11;265;USA;74;29.7;13.5;1.4;12.7;0.86;0.533;0.635;0
Dwight Powell;DAL;C;25;6-11;240;Canada;77;17.3;6.7;0.6;4;0.79;0.759;0.571;0.284
Dwyane Wade;CHI;SG;35;6-4;220;USA;60;29.9;18.3;3.8;4.5;1.43;0.794;0.456;0.31
E’Twaun Moore;NOP;SG;27;6-4;191;USA;73;24.9;9.6;2.2;2.1;0.68;0.77;0.501;0.37
Ed Davis;POR;PF;27;6-10;245;USA;46;17.2;4.3;0.6;5.3;0.33;0.617;0.528;0
Elfrid Payton;ORL;PG;22;6-4;185;USA;82;29.4;12.8;6.5;4.7;1.07;0.692;0.509;0.274
Elijah Millsap;PHX;SG;29;6-7;215;USA;2;11.6;1.5;0.5;3;0;0.5;0.2;0
Emmanuel Mudiay;DEN;PG;20;6-5;200;DR Congo;55;25.6;11;3.9;3.2;0.75;0.784;0.408;0.315
Enes Kanter;OKC;C;24;6-11;245;Turkey;72;21.3;14.3;0.9;6.7;0.43;0.786;0.568;0.132
Eric Bledsoe;PHX;PG;27;6-1;205;USA;66;33;21.1;6.3;4.8;1.38;0.847;0.477;0.335
Eric Gordon;HOU;SG;28;6-4;215;USA;75;31;16.2;2.5;2.7;0.64;0.84;0.468;0.372
Ersan Ilyasova;PHI;PF;29;6-10;235;Turkey;53;27.3;14.8;1.8;5.9;0.62;0.768;0.509;0.359
Evan Fournier;ORL;SG;24;6-4;191;USA;68;32.9;17.2;3;3.1;0.97;0.805;0.491;0.356
Evan Turner;POR;SG;28;6-7;205;France;65;25.5;9;3.2;3.8;0.85;0.825;0.47;0.263
Frank Kaminsky;CHA;C;23;6-7;220;USA;75;26.1;11.7;2.2;4.5;0.64;0.756;0.455;0.328
Fred VanVleet;TOR;PG;22;7-0;240;USA;37;7.9;2.9;0.9;1.1;0.43;0.818;0.341;0.379
Garrett Temple;SAC;SG;30;6-0;195;USA;65;26.6;7.8;2.6;2.8;1.29;0.784;0.479;0.373
Gary Harris;DEN;SG;22;6-6;195;USA;57;31.3;14.9;2.9;3.1;1.25;0.776;0.558;0.42
Gary Neal;ATL;SG;32;6-4;210;USA;2;9.2;2;0.5;0.5;0;1;0;0
Gary Payton II;MIL;PG;24;6-4;210;USA;6;16.5;3.3;2.2;2;0.5;0.6;0.538;0.111
George Hill;UTA;PG;30;6-3;190;USA;49;31.5;16.9;4.2;3.4;1.02;0.801;0.523;0.403
Georgios Papagiannis;SAC;C;19;6-8;230;USA;22;16.1;5.6;0.9;4;0.14;0.857;0.56;0
Gerald Green;BOS;SG;31;7-1;240;Greece;47;11.4;5.6;0.7;1.8;0.19;0.805;0.463;0.351
Gerald Henderson;PHI;SG;29;6-7;205;USA;72;23.2;9.2;1.6;2.6;0.56;0.806;0.456;0.353
Giannis Antetokounmp;MIL;SF;22;6-5;215;USA;80;35.6;22.9;5.4;8.8;1.64;0.77;0.563;0.272
Glenn Robinson III;IND;SF;23;6-11;222;Greece;69;20.7;6.1;0.7;3.6;0.59;0.711;0.512;0.392
Goran Dragic;MIA;PG;30;6-6;222;USA;73;33.7;20.3;5.8;3.8;1.22;0.79;0.499;0.405
Gordon Hayward;UTA;SF;26;6-3;190;Slovenia;73;34.5;21.9;3.5;5.4;1;0.844;0.506;0.398
Gorgui Dieng;MIN;PF;27;6-8;226;USA;82;32.4;10;1.9;7.9;1.07;0.814;0.511;0.381
Greg Monroe;MIL;C;26;6-11;240;Senegal;81;22.5;11.7;2.3;6.6;1.14;0.741;0.537;0
Greivis Vasquez;BKN;PG;30;6-11;265;USA;3;12.9;2.3;1.7;0.7;0.33;0.667;0.2;0.333
Harrison Barnes;DAL;PF;24;6-6;217;Venezuela;79;35.5;19.2;1.5;5;0.82;0.861;0.492;0.351
Hassan Whiteside;MIA;C;27;6-8;225;USA;77;32.6;17;0.7;14.1;0.74;0.628;0.557;0
Henry Ellenson;DET;PF;20;7-0;265;USA;19;7.7;3.2;0.4;2.2;0.05;0.5;0.433;0.294
Hollis Thompson;PHI;SG;25;6-11;245;USA;31;18.1;5.5;0.8;2.7;0.45;0.65;0.455;0.366
Ian Clark;GSW;SG;25;6-8;206;USA;77;14.8;6.8;1.2;1.6;0.51;0.759;0.556;0.374
Ian Mahinmi;WAS;C;30;6-3;175;USA;31;17.9;5.6;0.6;4.8;1.1;0.573;0.586;0
Iman Shumpert;CLE;SG;26;6-11;262;France;76;25.5;7.5;1.4;2.9;0.82;0.789;0.469;0.36
Isaiah Canaan;CHI;SG;25;6-5;220;USA;39;15.2;4.6;0.9;1.3;0.56;0.909;0.481;0.266
Isaiah Taylor;HOU;PG;22;6-0;201;USA;4;13;0.8;0.8;0.8;0.25;0.5;0.2;0
Isaiah Thomas;BOS;PG;27;6-3;170;USA;76;33.8;28.9;5.9;2.7;0.92;0.909;0.528;0.379
Isaiah Whitehead;BKN;PG;21;5-9;185;USA;73;22.5;7.4;2.6;2.5;0.58;0.805;0.446;0.295
Ish Smith;DET;PG;28;6-4;213;USA;81;24.1;9.4;5.2;2.9;0.75;0.706;0.468;0.267
Ivica Zubac;LAL;C;19;6-0;175;USA;38;16;7.5;0.8;4.2;0.37;0.653;0.536;0
J.J. Barea;DAL;PG;32;7-1;240;Croatia;35;22;10.9;5.5;2.4;0.4;0.863;0.456;0.358
Jabari Parker;MIL;PF;21;6-0;185;Puerto Rico;51;33.9;20.1;2.8;6.2;0.98;0.743;0.525;0.365
Jae Crowder;BOS;SF;26;6-8;250;USA;72;32.4;13.9;2.2;5.8;1.01;0.811;0.54;0.398
Jahlil Okafor;PHI;C;21;6-6;235;USA;50;22.7;11.8;1.2;4.8;0.4;0.671;0.514;0
Jake Layman;POR;SF;22;6-11;275;USA;35;7.1;2.2;0.3;0.7;0.23;0.765;0.342;0.255
Jakob Poeltl;TOR;C;21;6-9;210;USA;54;11.6;3.1;0.2;3.1;0.31;0.544;0.583;0
Jamal Crawford;LAC;SG;36;7-0;230;Austria;82;26.3;12.3;2.6;1.6;0.74;0.857;0.443;0.36
Jamal Murray;DEN;SG;19;6-5;195;USA;82;21.5;9.9;2.1;2.6;0.62;0.883;0.466;0.334
Jameer Nelson;DEN;PG;34;6-4;207;Canada;75;27.3;9.2;5.1;2.6;0.72;0.714;0.489;0.388
James Ennis III;MEM;SF;26;6-0;190;USA;64;23.4;6.7;1;4;0.72;0.782;0.516;0.372
James Harden;HOU;PG;27;6-7;210;USA;81;36.4;29.1;11.2;8.1;1.49;0.847;0.53;0.347
James Johnson;MIA;PF;29;6-5;220;USA;76;27.4;12.8;3.6;4.9;1;0.707;0.548;0.34
James Jones;CLE;SF;36;6-9;250;USA;48;7.9;2.8;0.3;0.8;0.13;0.65;0.5;0.47
James Michael McAdoo;GSW;PF;24;6-8;218;USA;52;8.8;2.8;0.3;1.7;0.35;0.5;0.55;0.25
JaMychal Green;MEM;PF;26;6-6;215;USA;77;27.3;8.9;1.1;7.1;0.61;0.802;0.549;0.382
Jared Dudley;PHX;PF;31;6-9;227;USA;64;21.3;6.8;1.9;3.5;0.67;0.662;0.559;0.379
Jared Sullinger;TOR;PF;24;6-7;225;USA;11;10.7;3.4;0.3;2.5;0.36;0.5;0.414;0.167
Jarell Eddie;PHX;SF;25;6-9;260;USA;5;12.5;4.8;0;1.4;0.2;0.889;0.667;0.25
Jarell Martin;MEM;PF;22;6-7;218;USA;42;13.3;3.9;0.2;3.9;0.4;0.8;0.389;0.36
Jarrett Jack;NOP;PG;33;6-9;255;USA;2;16.6;3;2.5;0;1;1;1;0
Jarrod Uthoff;DAL;PF;23;6-3;200;USA;9;12.8;4.4;1;2.6;0.22;0.714;0.448;0.333
Jason Smith;WAS;C;30;6-9;221;USA;74;14.4;5.7;0.5;3.5;0.28;0.686;0.546;0.474
Jason Terry;MIL;SG;39;7-0;240;USA;74;18.4;4.1;1.3;1.4;0.62;0.828;0.444;0.427
JaVale McGee;GSW;C;29;6-2;185;USA;77;9.6;6.1;0.2;3.2;0.25;0.505;0.658;0
Jaylen Brown;BOS;SF;20;7-0;270;USA;78;17.2;6.6;0.8;2.8;0.45;0.685;0.507;0.341
Jeff Green;ORL;SF;30;6-7;225;USA;69;22.2;9.2;1.2;3.1;0.54;0.863;0.458;0.275
Jeff Teague;IND;PG;28;6-9;235;USA;82;32.4;15.3;7.8;4;1.23;0.867;0.475;0.357
Jeff Withey;UTA;C;26;6-2;186;USA;51;8.5;2.9;0.1;2.4;0.31;0.75;0.539;0
Jerami Grant;OKC;SF;22;7-0;231;USA;78;19.1;5.4;0.6;2.6;0.42;0.619;0.523;0.377
Jeremy Lamb;CHA;SG;24;6-9;210;USA;62;18.4;9.7;1.2;4.3;0.44;0.853;0.536;0.281
Jeremy Lin;BKN;PG;28;6-5;185;USA;36;24.5;14.5;5.1;3.8;1.17;0.816;0.48;0.372
Jerian Grant;CHI;PG;24;6-3;200;USA;63;16.3;5.9;1.9;1.8;0.75;0.89;0.473;0.366
Jerryd Bayless;PHI;PG;28;6-4;198;USA;3;23.8;11;4.3;4;0;0.9;0.333;0.4
Jimmy Butler;CHI;SF;27;6-3;200;USA;76;37;23.9;5.5;6.2;1.89;0.865;0.477;0.367
JJ Redick;LAC;SG;32;6-7;231;USA;78;28.2;15;1.4;2.2;0.69;0.891;0.462;0.429
Joakim Noah;NYK;C;31;6-4;190;USA;46;22.1;5;2.2;8.8;0.65;0.436;0.493;0
Jodie Meeks;ORL;SG;29;6-11;230;USA;36;20.5;9.1;1.3;2.1;0.94;0.878;0.395;0.409
Joe Harris;BKN;SG;25;6-4;210;USA;52;21.9;8.2;1;2.8;0.58;0.714;0.489;0.385
Joe Ingles;UTA;SF;29;6-6;219;USA;82;24.1;7.1;2.7;3.2;1.16;0.735;0.471;0.441
Joe Johnson;UTA;SF;35;6-8;226;Australia;78;23.6;9.2;1.8;3.1;0.46;0.818;0.456;0.409
Joel Anthony;SAS;C;34;6-2;180;USA;19;6.4;1.3;0.2;1.6;0.11;0.625;0.625;0
Joel Embiid;PHI;C;22;6-9;235;Ukraine;31;25.4;20.2;2.1;7.8;0.87;0.783;0.495;0.367
Joffrey Lauvergne;OKC;C;25;7-0;250;Cameroon;50;14.8;5.7;1;3.7;0.36;0.638;0.506;0.346
John Henson;MIL;C;26;6-11;220;France;58;19.4;6.8;1;5.1;0.5;0.692;0.516;0
John Wall;WAS;PG;26;5-11;166;USA;78;36.4;23.1;10.7;4.2;2.01;0.801;0.48;0.327
Johnny O’Bryant III;DEN;PF;23;6-4;210;USA;7;6.6;2.9;0.3;1.6;0;1;0.417;0.667
Jon Leuer;DET;PF;27;6-9;257;USA;75;25.9;10.2;1.5;5.4;0.41;0.867;0.545;0.293
Jonas Jerebko;BOS;PF;29;6-10;228;USA;78;15.8;3.8;0.9;3.5;0.32;0.703;0.523;0.346
Jonas Valanciunas;TOR;C;24;6-10;231;Sweden;80;25.8;12;0.7;9.5;0.46;0.811;0.557;0.5
Jonathan Gibson;DAL;PG;29;7-0;255;Lithuania;17;13.6;6.2;1.5;1.3;0.47;0.724;0.4;0.333
Jonathon Simmons;SAS;SG;27;6-2;185;USA;78;17.9;6.2;1.6;2.1;0.6;0.75;0.461;0.294
Jordan Clarkson;LAL;SG;24;6-6;195;USA;82;29.2;14.7;2.6;3;1.09;0.798;0.504;0.329
Jordan Crawford;NOP;SG;28;6-5;194;USA;19;23.3;14.1;3;1.8;0.58;0.769;0.553;0.389
Jordan Farmar;SAC;PG;30;6-5;195;USA;2;17.7;6;4.5;1.5;1;0;0;0.444
Jordan Hill;MIN;C;29;6-2;180;USA;7;6.7;1.7;0;2;0.14;1;0.385;0
Jordan McRae;CLE;SG;25;6-10;240;USA;37;10.4;4.4;0.5;1.1;0.22;0.794;0.404;0.353
Jordan Mickey;BOS;PF;22;6-5;179;USA;25;5.6;1.5;0.3;1.4;0.12;0.571;0.455;0
Jose Calderon;LAL;PG;35;6-8;235;USA;24;12.2;3.3;2.1;1.8;0.29;1;0.465;0.353
Josh Huestis;OKC;PF;25;6-3;200;Spain;2;15.5;7;1.5;4.5;0;0;0.571;0.5
Josh McRoberts;MIA;PF;29;6-7;230;USA;22;17.3;4.9;2.3;3.4;0.45;0.667;0.356;0.419
Josh Richardson;MIA;SG;23;6-10;240;USA;53;30.5;10.2;2.6;3.2;1.13;0.779;0.444;0.33
JR Smith;CLE;SG;31;6-6;200;USA;41;29;8.6;1.5;2.8;1;0.667;0.329;0.351
Jrue Holiday;NOP;PG;26;6-6;225;USA;67;32.7;15.4;7.3;4;1.49;0.708;0.498;0.356
Juan Hernangomez;DEN;PF;21;6-4;205;USA;62;13.6;4.9;0.5;3;0.48;0.75;0.495;0.407
Julius Randle;LAL;PF;22;6-9;230;Spain;74;28.8;13.2;3.6;8.6;0.66;0.723;0.506;0.27
Justin Anderson;DAL;SF;23;6-9;250;USA;51;13.9;6.5;0.6;2.9;0.55;0.795;0.477;0.303
Justin Hamilton;BKN;C;26;6-6;228;USA;64;18.4;6.9;0.9;4.1;0.45;0.75;0.598;0.306
Justin Harper;PHI;PF;27;7-0;255;USA;3;10.4;4;0.7;1.7;0;0;0.6;0.286
Justin Holiday;NYK;SG;27;6-10;225;USA;82;20;7.7;1.2;2.8;0.79;0.825;0.513;0.355
