IGRALEC;EKIPA;POZICIJA;STAROST;VISINA;TEZA;DRZAVA;GP;MPG;PPG;APG;RPG;SPG;FT;2;3
Nikola Vucevic;ORL;C;26;6-10;238;Montenegro;75;28.8;14.6;2.8;10.4;1.01;0.669;0.481;0.307
Noah Vonleh;POR;PF;21;7-0;260;Montenegro;74;17.1;4.4;0.4;5.2;0.41;0.638;0.492;0.35
Norris Cole;OKC;PG;28;6-4;215;USA;13;9.6;3.3;1.1;0.8;0.62;0.8;0.333;0.231
Okaro White;MIA;PF;24;6-2;175;USA;35;13.5;2.8;0.6;2.3;0.29;0.909;0.396;0.353
Omer Asik;NOP;C;30;6-8;204;USA;31;15.6;2.7;0.5;5.3;0.16;0.59;0.477;0
Omri Casspi;SAC;SF;28;7-0;255;Turkey;22;18;5.9;1.2;4.1;0.45;0.571;0.477;0.379
Otto Porter Jr.;WAS;SF;23;6-9;225;Israel;80;32.6;13.4;1.5;6.4;1.45;0.832;0.576;0.434
Pascal Siakam;TOR;PF;22;6-6;245;USA;55;15.6;4.2;0.3;3.4;0.47;0.688;0.515;0.143
Pat Connaughton;POR;SG;24;6-9;230;Cameroon;39;8.1;2.5;0.7;1.3;0.15;0.778;0.513;0.515
Patricio Garino;ORL;SG;23;6-5;210;USA;5;8.6;0;0;1.4;0;0;0;0
Patrick Beverley;HOU;SG;28;6-6;203;Argentina;67;30.7;9.5;4.2;5.9;1.48;0.768;0.463;0.383
Patrick McCaw;GSW;SG;21;6-1;185;USA;71;15.1;4;1.1;1.4;0.45;0.784;0.533;0.333
Patrick Patterson;TOR;PF;27;6-7;185;USA;65;24.6;6.8;1.2;4.5;0.62;0.717;0.458;0.372
Patty Mills;SAS;PG;28;6-9;235;USA;80;21.9;9.5;3.5;1.8;0.81;0.825;0.474;0.414
Pau Gasol;SAS;C;36;6-0;185;Australia;64;25.4;12.4;2.3;7.8;0.38;0.707;0.494;0.538
Paul George;IND;SF;26;7-0;250;Spain;75;35.9;23.7;3.3;6.6;1.57;0.898;0.501;0.393
Paul Millsap;ATL;PF;31;6-9;220;USA;69;34;18.1;3.7;7.7;1.3;0.768;0.486;0.311
Paul Pierce;LAC;SF;39;6-8;246;USA;25;11.1;3.2;0.4;1.9;0.16;0.769;0.481;0.349
Paul Zipser;CHI;SF;22;6-7;235;USA;44;19.2;5.5;0.8;2.8;0.34;0.775;0.451;0.333
