"";"ID";"TRENER";"EKIPA";"st_let_s_klubom";"st_let_kariera";"G_sezona";"W_sezona";"L_sezona";"G_s_klubom";"W_s_klubom";"L_s_klubom";"G_kariera";"W_kariera";"L_kariera";"W_pr";"Sezona"
"65";65;"Brad Stevens";"BOS";6;6;82;49;33;492;270;222;492;270;222;".549";18
"66";66;"Kenny Atkinson";"BKN";3;3;82;42;40;246;90;156;246;90;156;".366";18
"67";67;"Fred Hoiberg";"CHI";4;4;24;5;19;270;115;155;270;115;155;".426";18
"68";68;"Jim Boylen";"CHI";1;1;58;17;41;58;17;41;58;17;41;".293";18
"69";69;"James Borrego";"CHA";1;2;82;39;43;82;39;43;112;49;63;".438";18
"70";70;"Tyronn Lue";"CLE";4;4;6;0;6;211;128;83;211;128;83;".607";18
"71";71;"Larry Drew";"CLE";1;5;76;19;57;76;19;57;388;162;226;".418";18
"72";72;"Rick Carlisle";"DAL";11;17;82;33;49;886;470;416;1378;751;627;".545";18
"73";73;"Mike Malone";"DEN";4;6;82;54;28;328;173;155;434;212;222;".488";18
"74";74;"Dwane Casey";"DET";1;10;82;41;41;82;41;41;762;414;348;".543";18
"75";75;"Steve Kerr";"GSW";5;5;82;57;25;410;322;88;410;322;88;".785";18
"76";76;"Mike D'Antoni";"HOU";3;15;82;53;29;246;173;73;1127;628;499;".557";18
"77";77;"Nate McMillan";"IND";3;15;82;48;34;246;138;108;1176;616;560;".524";18
"78";78;"Doc Rivers";"LAC";6;20;82;48;34;492;307;185;1552;894;658;".576";18
"79";79;"Luke Walton";"LAL";3;3;82;37;45;246;98;148;246;98;148;".398";18
"80";80;"J.B. Bickerstaff";"MEM";2;3;82;33;49;145;48;97;216;85;131;".394";18
"81";81;"Erik Spoelstra";"MIA";11;11;82;39;43;886;523;363;886;523;363;".590";18
"82";82;"Mike Budenholzer";"MIL";1;6;82;60;22;82;60;22;492;273;219;".555";18
"83";83;"Tom Thibodeau";"MIN";3;8;40;19;21;204;97;107;598;352;246;".589";18
"84";84;"Ryan Saunders";"MIN";1;1;42;17;25;42;17;25;42;17;25;".405";18
"85";85;"Alvin Gentry";"NOP";4;16;82;33;49;328;145;183;1033;480;553;".465";18
"86";86;"David Fizdale";"NYK";1;3;82;17;65;82;17;65;183;67;116;".366";18
"87";87;"Billy Donovan";"OKC";4;4;82;49;33;328;199;129;328;199;129;".607";18
"88";88;"Steve Clifford";"ORL";1;6;82;42;40;82;42;40;492;238;254;".484";18
"89";89;"Brett BKNwn";"PHI";6;6;82;51;31;492;178;314;492;178;314;".362";18
"90";90;"Igor Kokoskov";"PHX";1;1;82;19;63;82;19;63;82;19;63;".232";18
"91";91;"Terry Stotts";"POR";7;11;82;53;29;574;325;249;857;440;417;".513";18
"92";92;"Dave Joerger";"SAC";3;6;82;39;43;246;98;148;492;245;247;".498";18
"93";93;"Gregg Popovich";"SAS";23;23;82;48;34;1820;1245;575;1820;1245;575;".684";18
"94";94;"Nick Nurse";"TOR";1;1;82;58;24;82;58;24;82;58;24;".707";18
"95";95;"Quin Snyder";"UTA";5;5;82;50;32;410;227;183;410;227;183;".554";18
"96";96;"Scott BKNoks";"WAS";3;10;82;32;50;246;124;122;791;462;329;".584";18
