IGRALEC;EKIPA;POZICIJA;STAROST;VISINA;TEZA;DRZAVA;GP;MPG;PPG;APG;RPG;SPG;FT;2;3;;;
Jamil Wilson;LAC;SF;27;6-7;229;USA;15;18.3;7;0.7;2.1;0.33;0.5;0.611;0.429;;;
JaMychal Green;MEM;PF;27;6-9;227;USA;55;28;10.3;1.4;8.4;0.58;0.721;0.499;0.339;;;
Jared Dudley;PHX;PF;32;6-7;240;USA;48;14.3;3.2;1.6;1.9;0.52;0.771;0.452;0.363;;;
Jarell Eddie;CHI;SG;26;6-7;218;USA;2;2.8;0;0;0.5;0.5;0;0;0;;;
Jarell Martin;MEM;PF;23;6-10;239;USA;73;22.8;7.7;1;4.4;0.53;0.767;0.47;0.347;;;
Jarrett Allen;BKN;C;19;6-11;234;USA;72;20;8.2;0.7;5.4;0.39;0.776;0.599;0.333;;;
Jarrett Jack;NYK;PG;34;6-3;200;USA;62;25;7.5;5.6;3.1;0.56;0.84;0.459;0.291;;;
Jason Smith;WAS;C;31;7-0;240;USA;33;8.6;3.4;0.4;1.6;0.09;0.905;0.494;0.125;;;
Jason Terry;MIL;SG;40;6-2;185;USA;51;16;3.3;1.2;0.9;0.82;0.889;0.487;0.348;;;
JaVale McGee;GSW;C;30;7-0;270;USA;65;9.5;4.8;0.5;2.6;0.32;0.731;0.638;0;;;
Jawun Evans;LAC;PG;21;6-0;190;USA;48;16.2;4.8;2.1;1.8;0.75;0.776;0.372;0.278;;;
Jaylen Brown;BOS;SF;21;6-7;225;USA;70;30.7;14.5;1.6;5;1;0.644;0.507;0.395;;;
Jaylen Morris;ATL;G;22;6-5;185;USA;6;16.4;4.7;1.2;2.7;0.33;0;0.5;0.222;;;
Jayson Tatum;BOS;SF;19;6-8;205;USA;80;30.5;13.9;1.6;5;1.04;0.826;0.492;0.434;;;
Jeff Green;CLE;SF;31;6-9;235;USA;78;23.4;10.8;1.3;3.2;0.53;0.868;0.54;0.312;;;
Jeff Teague;MIN;PG;29;6-2;189;USA;70;33;14.2;7;3;1.46;0.845;0.477;0.368;;;
Jeff Withey;DAL;C;27;7-0;230;USA;9;4.4;1.7;0;1.1;0;0.5;0.667;0.2;;;
Jerami Grant;OKC;SF;23;6-9;220;USA;81;20.3;8.4;0.7;3.9;0.38;0.675;0.613;0.291;;;
Jeremy Evans;ATL;SF;30;6-9;200;USA;1;5.4;2;0;1;0;0;1;0;;;
Jeremy Lamb;CHA;SG;25;6-5;185;USA;80;24.6;12.9;2.3;4.1;0.76;0.861;0.495;0.37;;;
Jeremy Lin;BKN;PG;29;6-3;200;USA;1;25.2;18;4;0;0;1;0.4;0.5;;;
Jerian Grant;CHI;PG;25;6-4;198;USA;74;22.8;8.4;4.6;2.3;0.85;0.745;0.468;0.326;;;
Jerryd Bayless;PHI;PG;29;6-3;200;USA;39;23.7;7.9;1.4;2.1;0.59;0.795;0.474;0.37;;;
Jimmy Butler;MIN;SF;28;6-8;236;USA;59;36.7;22.2;4.9;5.3;1.97;0.854;0.509;0.35;;;
JJ Redick;PHI;SG;33;6-4;200;USA;70;30.2;17.1;3;2.6;0.5;0.904;0.504;0.42;;;
Joakim Noah;NYK;C;32;6-11;230;USA;7;5.7;1.7;0.6;2;0.29;0.5;0.5;0;;;
Jodie Meeks;WAS;SG;30;6-4;210;USA;77;14.5;6.3;0.9;1.6;0.38;0.863;0.464;0.343;;;
Joe Harris;BKN;SG;26;6-6;219;USA;78;25.3;10.8;1.6;3.3;0.44;0.827;0.589;0.419;;;
Joe Ingles;UTA;SF;30;6-8;226;Australia;82;31.4;11.5;4.8;4.2;1.1;0.795;0.516;0.44;;;
Joe Johnson;HOU;SF;36;6-7;240;USA;32;21.9;7.3;1.4;3.3;0.38;0.833;0.507;0.274;;;
Joe Young;IND;PG;25;6-2;185;USA;53;10.5;3.9;0.7;1.2;0.26;0.759;0.458;0.379;;;
Joel Bolomboy;UTA;PF;24;6-9;235;Ukraine;6;6.3;1.5;0;1.7;0.33;0.5;0.6;0;;;
Joel Embiid;PHI;C;23;7-0;250;Cameroon;63;30.3;22.9;3.2;10.9;0.63;0.769;0.527;0.308;;;
Joffrey Lauvergne;SAS;C;26;6-11;260;France;55;9.7;4.1;0.7;3.1;0.16;0.638;0.53;0;;;
John Collins;ATL;PF;20;6-10;235;USA;74;24.1;10.5;1.3;7.3;0.64;0.715;0.598;0.34;;;
John Henson;MIL;C;27;6-11;229;USA;76;25.9;8.8;1.5;6.8;0.59;0.57;0.578;0.143;;;
John Holland;CLE;SG;29;6-5;205;USA;24;7.3;2.3;0.2;1;0.29;0.692;0.261;0.306;;;
John Wall;WAS;PG;27;6-4;210;USA;41;34.4;19.4;9.6;3.7;1.39;0.726;0.436;0.371;;;
Johnathan Motley;DAL;PF;22;6-10;230;USA;11;16;8.7;0.6;4.5;0.27;0.536;0.565;0.167;;;
Johnny O'Bryant III;CHA;PF;24;6-9;257;USA;36;10.5;4.8;0.4;2.6;0.22;0.84;0.422;0.326;;;
Jon Leuer;DET;PF;28;6-10;228;USA;8;17.1;5.4;0.6;4;0.13;0.867;0.455;0;;;
Jonas Jerebko;UTA;PF;30;6-10;231;Sweden;74;15.3;5.8;0.6;3.3;0.32;0.807;0.511;0.414;;;
Jonas Valanciunas;TOR;C;25;7-0;255;Lithuania;77;22.4;12.7;1.1;8.6;0.38;0.806;0.586;0.405;;;
Jonathan Gibson;BOS;PG;30;6-2;185;USA;4;10;8.5;1;0.8;0;0;0.727;0.5;;;
Jonathan Isaac;ORL;SF;20;6-10;210;USA;27;19.8;5.4;0.7;3.7;1.22;0.76;0.394;0.348;;;
Jonathon Simmons;ORL;SG;28;6-6;195;USA;69;29.4;13.9;2.5;3.5;0.84;0.768;0.512;0.338;;;
Jordan Bell;GSW;PF;23;6-9;224;USA;57;14.2;4.6;1.8;3.6;0.61;0.682;0.641;0;;;
Jordan Clarkson;CLE;SG;25;6-5;194;USA;53;23.7;14.5;3.3;3;0.74;0.795;0.505;0.324;;;
Jordan Crawford;NOP;SG;29;6-5;195;USA;5;10.7;6.6;2.6;0.8;0.2;1;0.308;0.571;;;
Jordan Mickey;MIA;PF;23;6-8;235;USA;23;12.4;4;0.4;3.6;0.26;0.684;0.561;0.125;;;
Jose Calderon;CLE;PG;36;6-3;200;Spain;57;16;4.5;2.1;1.5;0.47;0.8;0.545;0.464;;;
Josh Gray;PHX;F;24;6-1;180;USA;5;17.3;6.4;2.4;2;1.6;0.636;0.286;0.231;;;
Josh Hart;LAL;SG;22;6-5;215;USA;63;23.2;7.9;1.3;4.2;0.73;0.702;0.551;0.396;;;
Josh Huestis;OKC;SF;26;6-7;230;USA;69;14.2;2.3;0.3;2.3;0.22;0.3;0.403;0.287;;;
Josh Jackson;PHX;SF;20;6-8;200;USA;77;25.4;13.1;1.5;4.6;1.04;0.634;0.464;0.263;;;
Josh Magette;ATL;PG;28;6-1;160;USA;18;12;2.6;3.2;1.1;0.44;1;0.292;0.364;;;
Josh McRoberts;DAL;PF;30;6-10;240;USA;2;2.9;0;0;0;0;0;0;0;;;
Josh Richardson;MIA;SG;24;6-6;200;USA;81;33.2;12.9;2.8;3.5;1.49;0.845;0.495;0.378;;;
Josh Smith;NOP;PF;32;6-9;225;USA;3;3.9;0.7;0;1.3;0;0;0.25;0;;;
JR Smith;CLE;SG;32;6-6;225;USA;80;28.1;8.3;1.8;2.9;0.85;0.696;0.453;0.375;;;
Jrue Holiday;NOP;PG;27;6-4;205;USA;81;36.1;19;6;4.5;1.52;0.786;0.558;0.337;;;
Juancho Hernangomez;DEN;PF;22;6-9;230;Spain;25;11.1;3.3;0.5;2.2;0.24;0.833;0.6;0.28;;;
Julius Randle;LAL;PF;23;6-9;250;USA;82;26.7;16.1;2.6;8;0.52;0.718;0.575;0.222;;;
Julyan Stone;CHA;PG;29;6-6;200;USA;23;7.6;0.8;1.1;1.3;0.17;0.5;0;0.462;;;
Justin Anderson;PHI;SF;24;6-6;230;USA;38;13.7;6.2;0.7;2.4;0.39;0.737;0.535;0.33;;;
Justin Holiday;CHI;SG;28;6-6;185;USA;72;31.5;12.2;2.1;4;1.11;0.823;0.387;0.359;;;
Justin Jackson;SAC;SF;22;6-8;210;USA;68;22.2;6.7;1.1;2.8;0.41;0.722;0.547;0.308;;;
Justin Patton;MIN;C;20;7-0;236;USA;1;3.7;2;0;0;1;0;0.5;0;;;
Justise Winslow;MIA;SF;21;6-7;225;USA;68;24.7;7.8;2.2;5.4;0.79;0.635;0.44;0.38;;;
Jusuf Nurkic;POR;C;23;7-0;280;BiH;79;26.4;14.3;1.8;9;0.81;0.63;0.508;0;;;
Kadeem Allen;BOS;SG;25;6-3;200;USA;18;6;1.1;0.7;0.6;0.17;0.778;0.545;0;;;
Karl-Anthony Towns;MIN;C;22;7-0;248;USA;82;35.6;21.3;2.4;12.4;0.78;0.858;0.585;0.421;;;
Kawhi Leonard;SAS;SF;26;6-7;230;USA;9;23.3;16.2;2.3;4.7;2;0.816;0.539;0.314;;;
Kay Felder;DET;PG;22;5-9;176;USA;14;9.6;3.9;1.4;1;0.21;0.917;0.333;0.222;;;
Kelly Olynyk;MIA;C;26;7-0;245;Canada;76;23.4;11.5;2.7;5.7;0.82;0.77;0.59;0.379;;;
Kelly Oubre Jr.;WAS;SF;22;6-7;205;USA;81;27.5;11.8;1.2;4.5;0.99;0.82;0.456;0.341;;;
Kemba Walker;CHA;PG;27;6-1;184;USA;80;34.2;22.1;5.6;3.1;1.14;0.864;0.469;0.384;;;
Kendrick Perkins;CLE;C;33;6-10;270;USA;1;14.5;3;2;1;1;0.5;0.5;0;;;
Kenneth Faried;DEN;PF;28;6-8;228;USA;32;14.4;5.9;0.6;4.8;0.38;0.706;0.517;0;;;
Kent Bazemore;ATL;SF;28;6-5;201;USA;65;27.5;12.9;3.5;3.8;1.54;0.796;0.438;0.394;;;
Kentavious Caldwell-Pope;LAL;SG;24;6-5;205;USA;74;33.2;13.4;2.2;5.2;1.45;0.789;0.473;0.384;;;
Kevin Durant;GSW;SF;29;6-9;240;USA;68;34.2;26.4;5.4;6.8;0.74;0.889;0.565;0.419;;;
Kevin Love;CLE;PF;29;6-10;251;USA;59;28;17.6;1.7;9.3;0.73;0.879;0.494;0.415;;;
Kevon Looney;GSW;PF;21;6-9;220;USA;66;13.8;4;0.6;3.3;0.5;0.545;0.594;0.2;;;
Khem Birch;ORL;C;25;6-9;220;Canada;42;13.8;4.2;0.8;4.3;0.36;0.689;0.54;0;;;
Khris Middleton;MIL;PF;26;6-8;234;USA;82;36.4;20.1;4;5.2;1.45;0.884;0.517;0.359;;;
Klay Thompson;GSW;SG;27;6-7;215;USA;73;34.3;20;2.5;3.8;0.75;0.837;0.526;0.44;;;
Kobi Simmons;MEM;PG;20;6-4;170;USA;32;20.1;6.1;2.1;1.6;0.56;1;0.46;0.282;;;
Kosta Koufos;SAC;C;28;7-0;265;USA;71;19.6;6.7;1.2;6.6;0.66;0.446;0.571;0;;;
Kris Dunn;CHI;PG;23;6-4;210;USA;52;29.3;13.4;6;4.3;2;0.73;0.457;0.321;;;
Kristaps Porzingis;NYK;PF;22;7-3;240;Latvia;48;32.4;22.7;1.2;6.6;0.75;0.793;0.454;0.395;;;
Kyle Anderson;SAS;SG;24;6-9;230;USA;74;26.7;7.9;2.7;5.4;1.55;0.712;0.556;0.333;;;
Kyle Collinsworth;DAL;PG;26;6-6;210;USA;32;15;3.2;1.8;3.3;0.53;0.525;0.415;0.235;;;
Kyle Korver;CLE;SG;36;6-7;212;USA;73;21.6;9.2;1.2;2.3;0.42;0.889;0.537;0.436;;;
Kyle Kuzma;LAL;PF;22;6-9;220;USA;77;31.2;16.1;1.8;6.3;0.64;0.707;0.511;0.366;;;
Kyle Lowry;TOR;PG;31;6-0;205;USA;78;32.2;16.2;6.9;5.6;1.09;0.854;0.474;0.399;;;
Kyle O'Quinn;NYK;PF;27;6-10;250;USA;77;18;7.1;2.1;6.1;0.45;0.772;0.601;0.235;;;
Kyle Singler;OKC;SF;29;6-8;228;USA;12;4.9;1.9;0.2;0.8;0.08;0.538;0.313;0.4;;;
Kyrie Irving;BOS;PG;25;6-3;193;Australia;60;32.2;24.4;5.1;3.8;1.08;0.889;0.541;0.408;;;
LaMarcus Aldridge;SAS;PF;32;6-11;260;USA;75;33.4;23.1;2;8.5;0.57;0.837;0.526;0.293;;;
Lance Stephenson;IND;SG;27;6-6;230;USA;82;22.6;9.2;2.9;5.2;0.59;0.661;0.495;0.289;;;
Lance Thomas;NYK;PF;29;6-8;235;USA;73;18.5;4.1;0.6;2.4;0.41;0.83;0.364;0.403;;;
Langston Galloway;DET;PG;26;6-2;200;USA;58;14.9;6.2;1;1.6;0.6;0.805;0.418;0.344;;;
Larry Drew II;NOP;PG;27;6-2;180;USA;7;7.9;2.1;1.1;0.3;0;0;0.273;0.5;;;
Larry Nance Jr.;CLE;PF;25;6-9;230;USA;42;21.9;8.6;1.4;6.8;1.4;0.632;0.606;0.25;;;
Lauri Markkanen;CHI;PF;20;7-0;230;Finland;68;29.7;15.2;1.2;7.5;0.57;0.843;0.497;0.362;;;
LeBron James;CLE;SF;33;6-8;250;USA;82;36.9;27.5;9.1;8.7;1.41;0.731;0.603;0.367;;;
London Perrantes;SAS;PG;23;6-2;190;USA;14;4.7;0.5;0.4;0.3;0.14;0.6;0.2;0;;;
Lonzo Ball;LAL;PG;20;6-6;190;USA;52;34.2;10.2;7.2;6.9;1.67;0.451;0.42;0.305;;;
Lorenzo Brown;TOR;G;27;6-5;189;USA;14;9.9;2.3;0.9;1.1;0.36;1;0.545;0.167;;;
Lou Williams;LAC;SG;31;6-1;175;USA;79;32.8;22.6;5.3;2.5;1.08;0.88;0.484;0.359;;;
Luc Mbah a Moute;HOU;PF;31;6-8;230;Cameroon;61;25.6;7.5;0.9;3;1.18;0.684;0.599;0.364;;;
Lucas Nogueira;TOR;C;25;7-0;220;Brazil;49;8.5;2.5;0.4;1.8;0.47;0.679;0.721;0.263;;;
Luis Montero;DET;SG;24;6-7;200;Dominican Republic;2;4;0;0;1;0;0;0;0;;;
Luke Babbitt;MIA;SF;28;6-9;225;USA;37;15.4;6.1;0.7;2.2;0.19;0.773;0.544;0.441;;;
Luke Kennard;DET;SG;21;6-5;200;USA;73;20;7.6;1.7;2.4;0.6;0.855;0.463;0.415;;;
Luke Kornet;NYK;PF;22;7-1;250;USA;20;16.3;6.7;1.3;3.2;0.25;0.727;0.457;0.354;;;
Luol Deng;LAL;SF;32;6-9;220;United Kingdom;1;13.1;2;1;0;1;0;0.5;0;;;
Malachi Richardson;TOR;SG;22;6-6;205;USA;25;12.7;3.5;0.5;1.3;0.4;0.773;0.347;0.308;;;
Malcolm Brogdon;MIL;SG;25;6-5;215;USA;48;29.9;13;3.2;3.3;0.85;0.882;0.532;0.385;;;
Malcolm Delaney;ATL;PG;28;6-3;190;USA;54;18.8;6.3;3;1.9;0.65;0.804;0.391;0.371;;;
Malcolm Miller;TOR;SF;24;6-7;210;USA;15;8.4;2.5;0.2;1.1;0.07;1;0.714;0.381;;;
Malik Beasley;DEN;SG;21;6-5;196;USA;62;9.4;3.2;0.5;1.1;0.24;0.667;0.469;0.341;;;
Malik Monk;CHA;SG;19;6-3;200;USA;63;13.6;6.7;1.4;1;0.32;0.842;0.385;0.342;;;
Mangok Mathiang;CHA;PF;25;6-10;230;Australia;4;5;2;0;2.5;0.25;0;0.571;0;;;
Manu Ginobili;SAS;SG;40;6-6;205;Argentina;65;20;8.9;2.5;2.2;0.66;0.84;0.506;0.333;;;
Marc Gasol;MEM;C;33;7-1;255;Spain;73;33;17.2;4.2;8.1;0.74;0.834;0.456;0.341;;;
Marcin Gortat;WAS;C;33;6-11;240;Poland;82;25.3;8.4;1.8;7.6;0.49;0.675;0.518;0;;;
Marco Belinelli;PHI;SG;31;6-5;210;Italy;52;23.3;11.4;2;1.9;0.88;0.927;0.45;0.372;;;
Marcus Georges-Hunt;MIN;SG;23;6-5;226;USA;42;5.3;1.4;0.2;0.4;0.14;0.619;0.5;0.267;;;
Marcus Morris;BOS;SF;28;6-9;235;USA;54;26.7;13.6;1.3;5.4;0.65;0.805;0.467;0.368;;;
Marcus Paige;CHA;PG;24;6-0;164;USA;5;5.6;2.4;0.6;0.8;0;1;0.333;0.25;;;
Marcus Smart;BOS;PG;23;6-4;220;USA;54;29.9;10.2;4.8;3.5;1.31;0.729;0.429;0.301;;;
Mario Chalmers;MEM;PG;31;6-2;190;USA;66;21.5;7.7;3;2.4;1.2;0.855;0.456;0.277;;;
Mario Hezonja;ORL;SF;22;6-8;218;Croatia;75;22.1;9.6;1.4;3.7;1.08;0.819;0.523;0.337;;;
Markel Brown;HOU;SG;26;6-3;190;USA;4;7.9;1.3;0.5;1.3;0;0;0.5;0.2;;;
Markelle Fultz;PHI;PG;19;6-4;200;USA;14;18.1;7.1;3.8;3.1;0.79;0.476;0.409;0;;;
Markieff Morris;WAS;PF;28;6-10;245;USA;73;27;11.5;1.9;5.6;0.78;0.82;0.529;0.367;;;
Marquese Chriss;PHX;PF;20;6-10;240;USA;72;21.2;7.7;1.2;5.5;0.71;0.608;0.509;0.295;;;
Marquis Teague;MEM;PG;24;6-2;189;USA;3;24.6;3.7;4.3;2;1.33;0.4;0.25;0.25;;;
Marreese Speights;ORL;C;30;6-10;255;USA;52;13;7.7;0.8;2.6;0.15;0.727;0.448;0.369;;;
Marshall Plumlee;MIL;C;25;7-0;250;USA;8;6.5;1.8;0.3;2.1;0;0.75;0.333;0;;;
MarShon Brooks;MEM;SG;29;6-5;200;USA;7;27.5;20.1;3.6;3.1;1.57;0.87;0.457;0.594;;;
Marvin Williams;CHA;PF;31;6-9;237;USA;78;25.7;9.5;1.2;4.7;0.72;0.829;0.512;0.413;;;
Mason Plumlee;DEN;C;27;6-11;255;USA;74;19.5;7.1;1.9;5.4;0.66;0.456;0.602;0;;;
Matt Costello;SAS;SF;24;6-10;240;USA;4;8.1;1;0.5;2.3;0.5;0;0.5;0;;;
Matt Williams Jr.;MIA;SG;24;6-5;210;USA;3;3.8;1.7;0;0.3;0;0;1;0.2;;;
Matthew Dellavedova;MIL;PG;27;6-4;198;Australia;38;18.7;4.3;3.8;1.7;0.37;0.926;0.351;0.372;;;
Maurice Harkless;POR;SF;24;6-9;220;USA;59;21.4;6.5;0.9;2.7;0.81;0.712;0.547;0.415;;;
Maxi Kleber;DAL;F;26;6-11;220;Germany;72;16.8;5.4;0.7;3.3;0.36;0.746;0.613;0.313;;;
Meyers Leonard;POR;PF;25;7-1;255;USA;33;7.7;3.4;0.5;2.1;0.21;0.818;0.673;0.423;;;
Michael Beasley;NYK;SF;29;6-9;235;USA;74;22.3;13.2;1.7;5.6;0.49;0.78;0.521;0.395;;;
Michael Carter-Williams;CHA;PG;26;6-6;190;USA;52;16.1;4.6;2.2;2.7;0.85;0.82;0.365;0.237;;;
Michael Kidd-Gilchrist;CHA;SF;24;6-7;232;USA;74;25;9.2;1;4.1;0.69;0.684;0.505;0;;;
Mike Conley;MEM;PG;30;6-1;175;USA;12;31.1;17.1;4.1;2.3;1;0.803;0.44;0.312;;;
Mike James;PHX;PG;27;6-1;195;USA;32;20.9;10.4;3.8;2.8;0.84;0.762;0.442;0.268;;;
Mike Muscala;ATL;C;26;6-11;240;USA;53;20;7.6;1;4.3;0.58;0.919;0.559;0.371;;;
Mike Scott;WAS;PF;29;6-8;237;USA;76;18.5;8.8;1.1;3.3;0.3;0.658;0.582;0.405;;;
Miles Plumlee;ATL;C;29;6-11;249;USA;55;16.7;4.3;0.8;4.1;0.31;0.45;0.583;0;;;
Milos Teodosic;LAC;PG;30;6-5;196;Serbia;45;25.2;9.5;4.6;2.8;0.51;0.848;0.492;0.379;;;
Milton Doyle;BKN;PG;24;6-4;180;USA;10;12.5;3.4;1;1.8;0.6;0.5;0.375;0.174;;;
Mindaugas Kuzminskas;NYK;SF;28;6-9;215;Lithuania;1;1.9;0;0;0;0;0;0;0;;;
Mirza Teletovic;MIL;PF;32;6-9;242;BiH;10;15.9;7.1;1;2.3;0.4;0;0.333;0.467;;;
Monte Morris;DEN;PG;22;6-3;175;USA;3;8.4;3.3;2.3;0.7;1;1;0.8;0;;;
Montrezl Harrell;LAC;PF;24;6-8;240;USA;76;17;11;1;4;0.47;0.626;0.641;0.143;;;
Myke Henry;MEM;SF;25;6-6;210;USA;20;18.9;5.4;1.1;1.9;1.55;0.6;0.431;0.328;;;
Myles Turner;IND;C;21;6-11;255;USA;65;28.2;12.7;1.3;6.4;0.55;0.777;0.519;0.357;;;
Nate Wolters;UTA;PG;26;6-4;190;ZDA;5;3.8;0.4;0.2;0.4;0;0;0.167;0;;;
Naz Mitrou-Long;UTA;PG;24;6-4;218;Canada;1;0.5;3;0;0;0;0;0;1;;;
Nemanja Bjelica;MIN;PF;29;6-10;230;Serbia;67;20.5;6.8;1.3;4.1;0.75;0.8;0.505;0.415;;;
Nene;HOU;C;35;6-11;250;Brazil;52;14.6;6.5;0.9;3.4;0.54;0.636;0.574;0;;;
Nerlens Noel;DAL;PF;23;6-11;220;USA;30;15.7;4.4;0.7;5.6;1.03;0.75;0.529;0;;;
Nick Collison;OKC;PF;37;6-10;255;USA;15;5;2.1;0.3;1.3;0;0.385;0.684;0;;;
Nick Young;GSW;SG;32;6-7;210;USA;80;17.4;7.3;0.5;1.6;0.48;0.862;0.481;0.377;;;
Nicolas Batum;CHA;SG;29;6-8;200;France;64;31;11.6;5.5;4.8;1.02;0.831;0.473;0.336;;;
Nicolas Brussino;ATL;SF;24;6-8;195;Argentina;4;2.5;0;0;0.8;0;0;0;0;;;
Nigel Hayes;SAC;SF;23;6-7;254;USA;5;21.1;3.6;0.8;4.4;0.4;0;0.375;0.167;;;
Nik Stauskas;BKN;SG;24;6-6;205;Canada;35;13.7;5.1;1.1;1.8;0.14;0.704;0.373;0.404;;;
Nikola Jokic;DEN;PF;22;6-10;250;Serbia;75;32.6;18.5;6.1;10.7;1.2;0.85;0.539;0.396;;;
Nikola Mirotic;NOP;PF;26;6-10;238;Montenegro;30;29.1;14.6;1.4;8.2;0.97;0.81;0.527;0.335;;;
Nikola Vucevic;ORL;C;27;7-0;260;Montenegro;57;29.5;16.5;3.4;9.2;0.98;0.819;0.527;0.314;;;
Noah Vonleh;CHI;PF;22;6-9;245;USA;33;14.4;3.6;0.4;5.1;0.18;0.742;0.5;0.333;;;
Norman Powell;TOR;SG;24;6-4;215;USA;70;15.2;5.5;1.3;1.7;0.53;0.821;0.516;0.285;;;
OG Anunoby;TOR;SF;20;6-8;235;United Kingdom;74;20;5.9;0.7;2.5;0.7;0.629;0.604;0.371;;;
Okaro White;CLE;PF;25;6-8;215;USA;6;13.3;3.3;0.3;1.8;0.17;0.667;0.6;0.364;;;
Omari Johnson;MEM;F;28;6-9;220;Jamaica;4;18.8;5.5;1.8;2.8;0.5;0;0.556;0.333;;;
Omer Asik;CHI;C;31;7-0;255;Turkey;14;8.6;1.3;0.1;2.6;0.07;0.333;0.438;0;;;
Omri Casspi;GSW;SF;29;6-9;225;Israel;53;14;5.7;1;3.8;0.34;0.725;0.595;0.455;;;
Otto Porter Jr.;WAS;SF;24;6-8;198;USA;77;31.6;14.7;2;6.4;1.51;0.828;0.537;0.441;;;
Pascal Siakam;HOU;PF;23;6-6;245;USA;81;20.7;7.3;2;4.5;0.77;0.621;0.612;0.22;;;
Pat Connaughton;TOR;SG;25;6-9;230;Cameroon;82;18.1;5.4;1.1;2;0.28;0.841;0.506;0.352;;;
Patrick Beverley;POR;SG;29;6-5;210;USA;11;30.3;12.2;2.9;4.1;1.64;0.824;0.407;0.4;;;
Patrick McCaw;LAC;SG;22;6-1;185;USA;57;16.9;4;1.4;1.4;0.75;0.765;0.503;0.238;;;
Patrick Patterson;GSW;PF;28;6-7;185;USA;82;15.5;3.9;0.7;2.3;0.59;0.87;0.421;0.386;;;
Patty Mills;OKC;PG;29;6-9;230;USA;82;25.7;10;2.8;1.9;0.67;0.89;0.47;0.372;;;
Pau Gasol;SAS;C;37;6-0;185;Australia;77;23.5;10.1;3.1;8;0.31;0.756;0.481;0.358;;;
Paul George;SAS;SF;27;7-0;250;Spain;79;36.6;21.9;3.3;5.7;2.04;0.82;0.454;0.401;;;
Paul Millsap;OKC;PF;32;6-9;220;USA;38;29.5;14.6;2.8;6.4;1.03;0.696;0.505;0.345;;;
Paul Zipser;DEN;SF;23;6-8;246;USA;54;15.3;4;0.9;2.4;0.37;0.731;0.355;0.336;;;
PJ Dozier;CHI;PG;21;6-8;226;Germany;2;1.6;1;0;0.5;0;0;0.5;0;;;
PJ Tucker;OKC;SF;32;6-6;205;USA;82;27.8;6.1;0.9;5.6;0.94;0.717;0.435;0.371;;;
Quincy Acy;BKN;PF;27;6-7;240;USA;70;19.4;5.9;0.8;3.7;0.47;0.817;0.384;0.349;;;
Quincy Pondexter;CHI;SG;29;6-7;225;USA;23;8.5;2;0.4;1.2;0.35;0.824;0.407;0.136;;;
Quinn Cook;GSW;PG;24;6-2;179;USA;33;22.4;9.5;2.7;2.5;0.36;0.88;0.514;0.442;;;
Rajon Rondo;NOP;PG;31;6-1;186;USA;65;26.2;8.3;8.2;4;1.08;0.543;0.526;0.333;;;
Ramon Sessions;WAS;PG;31;6-3;190;USA;15;15;5.9;3.3;1.3;0.47;0.762;0.396;0.4;;;
Rashad Vaughn;MIL;SG;21;6-6;202;USA;22;7.9;2.7;0.5;0.8;0.18;0.667;0.533;0.371;;;
Raul Neto;UTA;PG;25;6-1;179;Brazil;41;12.2;4.5;1.8;1.2;0.32;0.743;0.481;0.404;;;
Raymond Felton;OKC;PG;33;6-1;205;USA;82;16.6;6.9;2.5;1.9;0.6;0.818;0.444;0.352;;;
Reggie Bullock;DET;SF;26;6-7;205;USA;62;27.9;11.3;1.5;2.5;0.76;0.796;0.536;0.445;;;
Reggie Hearn;DET;SG;26;6-5;210;USA;3;2.2;1;0;0;0;0;0;0.5;;;
Reggie Jackson;DET;PG;27;6-3;208;USA;45;26.7;14.6;5.3;2.8;0.6;0.836;0.475;0.308;;;
Richard Jefferson;DEN;SF;37;6-7;233;USA;20;8.2;1.5;0.8;0.9;0.1;0.571;0.5;0.286;;;
Richaun Holmes;PHI;PF;24;6-10;235;USA;48;15.5;6.5;1.3;4.4;0.42;0.661;0.621;0.129;;;
Ricky Rubio;UTA;PG;27;6-4;190;Spain;77;29.3;13.1;5.3;4.6;1.57;0.866;0.451;0.352;;;
RJ Hunter;HOU;SG;24;6-5;185;USA;5;9;3.8;0.6;1;0.6;1;0.667;0.214;;;
Robert Covington;PHI;SF;27;6-9;225;USA;80;31.6;12.6;2;5.4;1.71;0.853;0.497;0.369;;;
Robin Lopez;CHI;C;29;7-0;277;USA;64;26.4;11.8;1.9;4.5;0.22;0.756;0.536;0.286;;;
Rodney Hood;CLE;SG;25;6-8;206;USA;39;27.8;16.8;1.7;2.8;0.77;0.876;0.455;0.389;;;
Rodney McGruder;MIA;SG;26;6-4;200;USA;18;16.6;5.1;0.9;1.8;0.44;0.5;0.553;0.429;;;
Rodney Purvis;ORL;SG;23;6-4;205;USA;16;18.1;6;1.1;1.7;0.19;0.867;0.4;0.25;;;
Ron Baker;NYK;SG;24;6-4;220;USA;29;13.3;2.4;1.6;1;0.9;0.741;0.346;0.333;;;
Rondae Hollis-Jefferson;BKN;SF;23;6-7;214;USA;68;28.2;13.9;2.5;6.8;0.96;0.788;0.491;0.241;;;
Royce O'Neale;UTA;SF;24;6-6;226;USA;69;16.7;5;1.4;3.4;0.52;0.803;0.47;0.356;;;
Rudy Gay;SAS;SF;31;6-8;230;USA;57;21.6;11.5;1.3;5.1;0.81;0.772;0.516;0.314;;;
