IGRALEC;EKIPA;POZICIJA;STAROST;VISINA;TEZA;DRZAVA;GP;MPG;PPG;APG;RPG;SPG;FT;2;3;;;
Brandon Ingram;LAL;SF;20;6-9;190;USA;59;33.5;16.1;3.9;5.3;0.76;0.681;0.483;0.39;;;
Brandon Jennings;MIL;PG;28;6-1;170;USA;14;14.7;5.2;3.1;2.2;0.43;1;0.462;0.273;;;
Brandon Paul;SAS;SG;26;6-4;200;ZDA;64;9;2.3;0.6;1.1;0.39;0.512;0.548;0.278;;;
Briante Weber;MEM;PG;25;6-2;165;USA;13;9.1;2;1;1.4;0.77;1;0.385;0.444;;;
Brice Johnson;LAC;F;23;6-10;230;USA;9;4.3;1.8;0.1;1.4;0.67;1;0.7;0;;;
Brook Lopez;LAL;C;29;7-0;268;USA;74;23.4;13;1.7;4;0.39;0.703;0.549;0.345;;;
Bruno Caboclo;SAC;SF;22;6-9;205;Brazil;10;10;2.6;0.3;2.1;0.2;0.833;0.429;0.2;;;
Bryn Forbes;SAS;SG;24;6-3;190;USA;80;19;6.9;1;1.4;0.35;0.667;0.446;0.39;;;
Buddy Hield;SAC;SG;24;6-4;214;Bahamas;80;25.3;13.5;1.9;3.8;1.06;0.877;0.457;0.431;;;
C.J. Williams;LAC;SG;27;6-5;230;USA;38;18.6;5.5;1.1;1.5;0.82;0.813;0.546;0.282;;;
Caleb Swanigan;POR;PF;20;6-8;250;USA;27;7;2.3;0.5;2;0.19;0.667;0.442;0.125;;;
Cameron Payne;CHI;PG;23;6-3;185;USA;25;23.3;8.8;4.5;2.8;1.04;0.75;0.419;0.385;;;
Caris LeVert;BKN;SG;23;6-7;203;USA;71;26.2;12.1;4.2;3.7;1.15;0.711;0.48;0.347;;;
Carmelo Anthony;OKC;SF;33;6-8;240;USA;78;32.1;16.2;1.3;5.8;0.6;0.767;0.436;0.357;;;
Cedi Osman;CLE;SF;22;6-8;215;Turkey;61;11;3.9;0.7;2;0.36;0.565;0.586;0.368;;;
Chandler Parsons;MEM;SF;29;6-10;230;USA;36;19.2;7.9;1.9;2.5;0.5;0.63;0.504;0.421;;;
Channing Frye;LAL;C;34;6-11;255;USA;44;12.4;4.8;0.6;2.5;0.39;0.933;0.684;0.333;;;
Charles Cooke;NOP;SG;23;6-5;196;USA;13;2.9;0.5;0.1;0.2;0.08;0.5;0.167;0.125;;;
Cheick Diallo;NOP;PF;21;6-9;220;Mali;52;11.2;4.9;0.4;4;0.21;0.758;0.58;0;;;
Chinanu Onuaku;HOU;PF;21;6-10;245;USA;1;21.6;4;1;4;0;0;0.4;0;;;
Chris Boucher;GSW;PF;25;6-10;200;Canada;1;1.3;0;0;1;0;0;0;0;;;
Chris McCullough;WAS;PF;22;6-9;215;USA;19;4.7;2.4;0.2;1.3;0;0.643;0.5;0.125;;;
Chris Paul;HOU;PG;32;6-0;175;USA;58;31.8;18.6;7.9;5.4;1.67;0.919;0.532;0.38;;;
CJ McCollum;POR;SG;26;6-3;190;USA;81;36.1;21.4;3.4;4;0.95;0.836;0.465;0.397;;;
CJ Miles;TOR;SF;30;6-6;225;USA;70;19.1;10;0.8;2.2;0.53;0.835;0.434;0.361;;;
Clint Capela;HOU;C;23;6-10;240;Switzerland;74;27.5;13.9;0.9;10.8;0.78;0.56;0.653;0;;;
Cody Zeller;CHA;PF;25;7-0;240;USA;33;19;7.1;0.9;5.4;0.42;0.718;0.542;0.667;;;
Cole Aldrich;MIN;C;29;6-11;253;USA;21;2.3;0.6;0.1;0.7;0.1;0.333;0.333;0;;;
Corey Brewer;OKC;SF;31;6-9;186;USA;54;12.9;3.7;0.8;1.7;0.76;0.667;0.543;0.186;;;
Cory Joseph;IND;SG;26;6-3;190;Canada;82;27;7.9;3.2;3.2;0.98;0.745;0.458;0.353;;;
